,crashed,crashed_std,merged,merged_std,mean_speed,mean_speed_std,max_speed,max_speed_std,mean_abs_jerk,mean_abs_jerk_std,closest_distance,closest_distance_std,mean_closest_distance,mean_closest_distance_std,mean_abs_jerk_merged,mean_abs_jerk_merged_std,closest_distance_merged,closest_distance_merged_std,mean_closest_distance_merged,mean_closest_distance_merged_std,mean_disruption,mean_disruption_std,max_disruption,max_disruption_std,total_disruption,total_disruption_std,disruption_time,disruption_time_std,time_taken,time_taken_std,time_to_merge,time_to_merge_std,clock_time_per_episode,clock_time_per_episode_std,clock_time_per_step,clock_time_per_step_std,ALT_A_WEIGHT,ALT_D_WEIGHT,ALT_J_WEIGHT,ALT_V_WEIGHT,AVOID_UNVISITED_STATES,A_WEIGHT,BASE_TRAFFIC_INTERVAL,BATCH_SIZE,CARS_AHEAD,CARS_BEHIND,CAR_LENGTH,CHECK_ROLLOUT_CRASH,CLIP_MAX_REWARD,CLIP_MIN_REWARD,CLIP_TARGETS,COMBINATION_MIN_DISTANCE,CRASH_MIN_S,CRASH_REWARD,CUDA,DESIRED_SPEED,DESIRED_TTC,DISCOUNT_FACTOR,DOUBLE_DQN,D_WEIGHT,EPS_DECAY_COEFFICIENT,EPS_DECAY_RATE,EPS_END,EPS_START,EVALUATION_EPISODE_LENGTH,EVALUATION_PERIOD,EVALUATION_TICK_LENGTH,FULL_LOG_DIR,FUTURE_S,FUTURE_T,GAMMA,GYM_ENVIRONMENT,INIT_MODEL_NAME,INVALID_ACTION_PENALTY,J_WEIGHT,LEARNING_RATE,LIMIT_DQN_SPEED,LOG_DIR,LOG_FILE,LOG_LEVEL,MAXIMUM_POSITIVE_JERK,MAX_EPISODE_LENGTH,MAX_NEGATIVE_ACCELERATION,MAX_POSITIVE_ACCELERATION,MAX_PREDICTED_DECELERATION,MAX_SPEED,MAX_START_SPEED,MERGE_POINT_X,MINIMUM_NEGATIVE_JERK,MIN_ALLOWED_DISTANCE,MIN_FOLLOW_DISTANCE,MIN_START_SPEED,MODEL_NAME,NORMALIZE_VECTOR_INPUT,NUM_EPISODES,NUM_EVALUATION_EPISODES,NUM_TRAINING_EPISODES,OTHER_CAR_SPEED,PER_ALPHA,PER_MAX_PRIORITY,PER_MIN_PRIORITY,RANDOMIZE_START_SPEED,REMEMBER_LAST_CHOICE_FOR_SWITCHING_COMBINED,REPLAY_BUFFER_SIZE,REWARD_FUNCTION,ROLLOUT_LENGTH,SEED,SENSOR_RADIUS,START_SPEED,START_SPEED_VARIANCE,START_UNCERTAINTY,STEP_SIZE,STEP_SIZE_HALF_PER_EPISODES,STOP_X,ST_TEST_ROLLOUTS,SUCCESS_REWARD,SYSTEM,S_DISCRETIZATION,TARGET_NET_FREEZE_PERIOD,TASK,TEST_ROLLOUT_STATE,TEST_ST_STRICTLY_BETTER,TICK_LENGTH,TIME_REWARD,TRAFFIC_DENSITY,TRAINING_EPISODE_LENGTH,TRAINING_STEPS_PER_EPISODE,TRAINING_TICK_LENGTH,T_DISCRETIZATION,UNCERTAINTY_PER_SECOND,USE_ACCELERATION_OF_OTHER_CARS,USE_ALTERNATE_TRAFFIC_DISTRIBUTION,USE_CYTHON,USE_DROPOUT,USE_FAST_ST_SOLVER,USE_GUI,USE_MIN_ALLOWED_DISTANCE_IN_COMBINED_SOLVER,USE_PRIORITIZED_ER,USE_SIMPLE_TRAFFIC_DISTRIBUTION,USE_SPEED_DIFFERENCE,VARY_TRAFFIC_START_TIMES,V_WEIGHT,WT_EFFICIENT,WT_SAFE,WT_SMOOTH,ST_DESCRIPTION,TRAFFIC_DESCRIPTION,TIME,percent st solver,percent st solver_std
0,0.0181,0.0013331979379200105,0.9819,0.0013331979379200105,12.218734156536,0.01104300304171817,18.34438513775993,0.023057890523434054,0.3304098217783914,0.0007834870030006759,2.8823277822662066,0.0218309408528259,6.813125373678199,0.006619309546974725,0.3257705756675435,0.0007115554115111649,2.8484923622572915,0.022024906900209248,6.788576390772471,0.006200218266765054,0.2696873646846392,0.0013417380081118724,7.802168313952249,0.027954096209239488,3.9343702850674886,0.01880117876288484,0.5141399999999998,0.003209772001814205,21.96784,0.019187865719226985,22.01383032895407,0.018979193156319872,1.0017755734175444,0.0009286738417983996,0.009131170290282549,5.308963488996991e-06,0.01,0.05,0.1,0.0001,True,10.0,2.4,50,2,2,5.0,True,10,-20,True,5.1,12,-10,True,30.0,3,0.999,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_low1_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,0.0002,False,ddpg_low1_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_low1_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,0,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-12-0.0-0.0,uniform-7.0-2.4-varying,2020-10-19 15:45:30.430671-07:00,,
1,0.0029,0.0005377619536485257,0.9971,0.0005377619536485257,12.135923330763545,0.010189635281334495,18.49880912519814,0.021472636654457644,0.287842870120004,0.000620208735953076,2.9415057894977954,0.02192534336005928,6.867246895137389,0.00591410437063265,0.28757161209209003,0.0006195114068442129,2.9494989004458723,0.021938685395501964,6.8807749754885,0.005370665527277671,0.2839996280272492,0.0013991774333143234,7.73399609366642,0.02930398387733685,4.184296882432174,0.02002050758146684,0.5215799999999999,0.0032109907203448306,22.06386,0.017963943341205366,22.093771938621998,0.01711948114728364,1.5168893062505868,0.0015794448781118295,0.013758322761395894,1.0320250592200585e-05,0.01,0.05,0.1,0.0001,True,10.0,2.4,50,2,2,5.0,True,10,-20,True,5.1,12,-10,True,30.0,3,0.9990000000000001,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_low2_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_low2_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_low2_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,1,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-12-0.0-0.0,uniform-7.0-2.4-varying,2020-10-20 14:25:13.145243-07:00,,
2,0.0,0.0,1.0,0.0,10.41625193307538,0.007435440511011667,23.612421147840845,0.009601550585335905,1.0738331715555711,0.002255867621887021,10.109908238734752,0.002377568042001532,11.006359434522075,0.009987157053883694,1.0738331715555711,0.002255867621887021,10.109908238734752,0.002377568042001532,11.006359434522075,0.009987157053883694,0.11334787752006675,0.0014207875213992204,3.2222873879358636,0.03308008058407394,2.254262203054664,0.02870886143822192,0.4667200000000001,0.005159060549225514,25.659240000000004,0.01802049766442668,25.659240000000004,0.01802049766442668,7.8445897985048605,0.012660650926227946,0.061012541751908615,7.710066446509726e-05,0.01,0.05,0.1,0.0001,True,10.0,2.4,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.999,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/st_low,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,0.0002,False,st_low,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_low1_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,1,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,ST,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-2.4-varying,2020-10-20 14:34:30.997572-07:00,,
4,0.0028,0.0005284353549796219,0.9972,0.0005284353549796219,12.152140790311954,0.009127656685798412,18.94311540895542,0.01836297747459104,0.3515221595484401,0.0006967130618306924,4.44492559055441,0.015057880901325447,7.105319162022821,0.007667080673058542,0.35122223442014555,0.0006951804772527642,4.456650535873626,0.014934388986619546,7.12228575678913,0.006983736426684396,0.2892759253829488,0.0013157884713172086,7.96383549685148,0.025662996223817548,4.2876796790792735,0.01865428167039684,0.6048000000000001,0.004152327080327151,22.02974,0.016455194638261145,22.05906538307261,0.015529520043604497,1.1160556207206105,0.0008632669219728567,0.010136495661336243,3.8415519958135525e-06,0.01,0.05,0.1,0.0001,True,10.0,2.4,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.999,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_low3_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_low3_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_low3_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,2,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-2.4-varying,2020-10-21 07:50:37.373870-07:00,,
5,0.008,0.0008908868435086432,0.992,0.0008908868435086432,12.12260374543784,0.009396393462422643,19.207561669623047,0.016880084810701097,0.42878510127915415,0.000880893946664265,4.3092289979353895,0.014289538398771553,6.512559230574127,0.007501588935202217,0.42810528569048256,0.0008827150731841473,4.3329122420278825,0.014067708110726477,6.546884454774282,0.006101741711516896,0.3134293569796866,0.0008989618039662336,8.737665284093183,0.01281997447938773,4.7555397024729125,0.012978070379080402,0.76554,0.005939459449971502,22.056000000000004,0.017324260821209664,22.129677419354838,0.014974630406211218,1.3043251673318446,0.0010728940176815754,0.011830485714195229,4.740594948077475e-06,0.01,0.05,0.1,0.0001,True,10.0,1.8,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.9990000000000001,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_medium2_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_medium2_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_medium2_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,1,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.8-varying,2020-10-21 09:18:06.693441-07:00,,
6,0.0012,0.00034621956443661565,0.9988,0.00034621956443661565,11.618219690267296,0.0090370344329295,18.06113437784931,0.022425949216782152,0.3517831344035841,0.0005134624543502228,5.288104714762848,0.01604290989472866,8.747173204804872,0.005728698067895386,0.35164730037220315,0.000512279832918107,5.294049765828152,0.015969652257446964,8.756415930180905,0.005075888163836987,0.3400971703657523,0.0010405902275633402,8.27441470897942,0.019923643601436367,5.387447788935969,0.015568067703053832,1.4005600000000002,0.008189180356268309,23.04656,0.017694929434523592,23.05919102923509,0.017332669950030657,1.3643150917932392,0.001040415684704491,0.011848790757117644,4.7251557976303456e-06,0.01,0.05,0.1,0.0001,True,10.0,1.8,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.999,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_medium1_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_medium1_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_medium1_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,0,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.8-varying,2020-10-21 09:34:30.655371-07:00,,
7,0.0054,0.0007328967961257419,0.9946,0.0007328967961257419,12.089056991318165,0.009961790454910965,19.39734386386266,0.01906685905134884,0.4437339358264009,0.0008904098189349838,4.26794739549738,0.015827925372938492,7.116211957828018,0.010437327894231579,0.4435156428412101,0.000890115184470334,4.287657247988648,0.015667647303793688,7.148114816123531,0.009529990619368295,0.3249780904905537,0.0010627603615666796,8.353303371532668,0.019218939314916857,4.959105732073609,0.015495963495171346,1.20282,0.008455173194877534,22.14164,0.018359834405351785,22.19905489644078,0.01669109634980159,1.2979134269144386,0.0010904831623364528,0.011730113829095258,4.754847992116303e-06,0.01,0.05,0.1,0.0001,True,10.0,1.8,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.9990000000000001,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_medium3_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_medium3_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_medium3_extended,True,10000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,2,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.8-varying,2020-10-21 09:35:56.742370-07:00,,
8,0.0205,0.0022408018203758113,0.9795,0.0022408018203758113,11.496629302007372,0.018095626956024704,17.90951044356264,0.04391751193245142,0.405673283564906,0.0015100359639810589,4.184637434977781,0.0250025176194336,6.516192902996763,0.02329167628440993,0.404001554864598,0.0015172025271405322,4.263992705620225,0.023888723000555504,6.633050325930518,0.01984209042518893,0.4071957362134863,0.0019517009747041672,8.785001886154863,0.01714210773483119,6.534219544076161,0.02989120464777823,1.5396,0.017921586308526194,23.2659,0.03869345672589036,23.493363961204697,0.03004349767860172,1.6695672059720381,0.0028229103090180287,0.014354495405224219,9.802609005906513e-06,0.01,0.05,0.1,0.0001,True,10.0,1.2,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.999,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_default3_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_default3_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_default3_extended,True,4000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,2,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.2-varying,2020-10-22 08:01:21.277501-07:00,,
9,0.00225,0.0007492494368897916,0.99775,0.0007492494368897916,10.7944029221519,0.01908557499177924,16.14712939030914,0.05516295065099626,0.3525370164839986,0.0015692337138495096,4.444203492114863,0.01540494431743658,6.787986762734313,0.0168464100874252,0.3522648863568566,0.0015686561153264685,4.452951528741634,0.015140881107404625,6.80027577299848,0.016343585398955814,0.3579816607684388,0.0018557454184602315,8.119847519822303,0.03451957577617268,6.038564644498145,0.029314682952644805,1.8407,0.019421513233887664,24.9713,0.04451201419113539,24.99979954898522,0.04357434159081803,1.779014479056932,0.0028210838731794305,0.014279581334913822,9.989547744273068e-06,0.01,0.05,0.1,0.0001,True,10.0,1.2,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.9990000000000001,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_default1_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_default1_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_default1_extended,True,4000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,0,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.2-varying,2020-10-22 08:07:38.889041-07:00,,
10,0.00625,0.0012462434175007364,0.99375,0.0012462434175007364,11.44213652162844,0.011517194209592541,18.466708703138963,0.030379917558784383,0.3875244289498593,0.0013441566350827414,4.267754506213217,0.021803988221099708,7.2349024812627185,0.01375745843663892,0.38744097848500575,0.001350689270258594,4.2935765839350575,0.021320051584963383,7.275487924185914,0.011194505614543021,0.40905756830664597,0.001623988593952643,8.839087454020458,0.014075738271579019,6.654753591569978,0.025741074455332254,1.6123000000000005,0.0147716528503747,23.32365,0.024312094497589358,23.39184905660377,0.02024156094521016,1.665626666958444,0.0020203180568239038,0.014286695636930476,1.1098412154381063e-05,0.01,0.05,0.1,0.0001,True,10.0,1.2,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.999,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/ddpg_default2_extended,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,2e-05,False,ddpg_default2_extended,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_default2_extended,True,4000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,1,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_DDPG,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.2-varying,2020-10-22 08:18:17.621185-07:00,,
11,0.0,0.0,1.0,0.0,9.48181437429483,0.023487380818161555,16.642584934138895,0.05281539771945784,0.7745195784321581,0.0036565470199992132,6.329842171672244,0.014645383508453956,11.813611777038286,0.02587768582924766,0.7745195784321581,0.0036565470199992132,6.329842171672244,0.014645383508453956,11.813611777038286,0.02587768582924766,0.33389320340015866,0.00146783503462136,6.614516410466224,0.03477826931569671,6.585007317327237,0.02567102190736366,3.0521000000000003,0.01294539660741728,28.7796,0.07315988690712326,28.7796,0.07315988690712326,10.763745757379567,0.035089066007842805,0.07439200055493185,8.839539164196611e-05,0.01,0.05,0.1,0.0001,True,10.0,1.2,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.9990000000000001,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/combined_default_1,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,0.0002,False,combined_default_1,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_default1_extended,True,4000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,100,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,EVALUATE_COMBINED_DDPG,True,False,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.2-varying,2020-10-23 10:58:56.587769-07:00,0.034922851807903804,0.0004168590062354741
13,0.0,0.0,1.0,0.0,9.296720680977707,0.0052729195014250855,23.295739038734197,0.013977040181895634,1.2618544285133106,0.0020190656067410693,10.272906356446988,0.003442376531107073,12.460616229740458,0.009484310172193837,1.2618544285133106,0.0020190656067410693,10.272906356446988,0.003442376531107073,12.460616229740458,0.009484310172193837,0.3045335511862413,0.00034414746453432957,6.489750000000105,0.017533556135954496,6.948946685096158,0.0069684094723288965,1.4021,0.0041518919845972575,28.64495,0.015443509959687556,28.64495,0.015443509959687556,13.063601514467035,0.020446463536291645,0.09121214594263674,0.00013433673436750174,0.01,0.05,0.1,0.0001,True,10.0,1.8,50,2,2,5.0,True,10,-20,True,5.1,20,-10,True,30.0,3,0.9990000000000001,True,10.0,0.25,30000,0.1,1.0,50,2000,0.2,runs/st_medium,150.0,5.0,1.0,sumo-jerk-continuous-v0,,0.0,10.0,0.0002,False,st_medium,out.log,20,5.0,100,-6.0,4.5,-4,30,25,-50,-5.0,5,3,5,runs/ddpg_low1_extended,True,4000,100,150000,7.0,0.5,4.0,1e-06,True,False,50000,Slotted Jerk,5,0,125,15,5,0.0,0.01,20000,65,5,10,Linux,0.05,500,ST,True,True,0.2,-0.1,low,50,8,0.2,0.3,0.0,True,False,True,False,True,False,True,True,True,True,True,0.5,0.01,0.1,0.1,st-0.5-10.0-10.0-10.0-5-20-0.0-0.0,uniform-7.0-1.8-varying,2020-10-23 13:15:49.344807-07:00,,
